time,source_user,destination_user,source_computer,dest_computer,auth_type,logon_type,auth_orientation,success_failure,label
146.6236883482925,U11,U18,C19,C16,Kerberos,Interactive,LogOff,Fail,Normal
146.7905095971501,U17,U10,C12,C18,Kerberos,Unlock,LogOn,Success,Normal
155.375683022074,U13,U4,C3,C8,Kerberos,Unlock,LogOff,Success,Normal
162.81824007793705,U1,U9,C13,C3,?,Interactive,LogOn,Fail,Normal
163.09443517936026,U2,U6,C18,C9,Kerberos,Network,LogOn,Success,Normal
163.60696922924834,U9,U2,C8,C6,Kerberos,Interactive,LogOff,Success,Normal
165.6095112783099,U3,U17,C15,C10,Kerberos,Network,LogOff,Success,Normal
167.2214857919918,U1,U5,C1,C10,Kerberos,Interactive,LogOff,Success,Normal
185.32350449996167,U16,U6,C3,C13,Kerberos,Unlock,LogOn,Success,Normal
186.0541962069877,U6,U12,C8,C17,Kerberos,Network,LogOff,Success,Normal
202.69179245461447,U17,U10,C4,C9,NTLM,Network,LogOn,Success,Normal
207.2115360599194,U5,U6,C16,C17,NTLM,Network,LogOff,Success,Normal
209.10100380551805,U5,U8,C10,C9,NTLM,Unlock,LogOff,Success,Normal
228.81006102968507,U6,U2,C12,C9,NTLM,Interactive,LogOff,Success,Normal
234.18573474700625,U3,U12,C14,C1,NTLM,Unlock,LogOn,Success,Normal
249.70068315059564,U5,U13,C14,C2,Kerberos,Network,LogOff,Success,Normal
254.04749064154743,U5,U7,C2,C16,NTLM,Interactive,LogOff,Success,Normal
256.27913445682435,U10,U10,C5,C1,Kerberos,Unlock,LogOn,Success,Normal
261.9468229110967,U10,U13,C5,C10,NTLM,Network,LogOn,Success,Normal
265.6676330474359,U19,U17,C6,C18,NTLM,Network,LogOff,Success,Normal
266.5607462427253,U17,U14,C13,C8,Kerberos,Unlock,LogOff,Success,Normal
268.38231724717497,U14,U2,C9,C11,Kerberos,Unlock,LogOff,Success,Normal
277.1276753836548,U9,U11,C15,C2,NTLM,Unlock,LogOn,Success,Normal
279.8446930739454,U14,U1,C14,C8,Kerberos,Network,LogOn,Success,Normal
282.44297283215747,U1,U19,C7,C8,Kerberos,Unlock,LogOn,Success,Normal
292.85561031083915,U19,U4,C2,C17,NTLM,Network,LogOn,Success,Normal
300.60258011520756,U13,U19,C7,C15,NTLM,Unlock,LogOff,Success,Normal
302.7845020139908,U13,U11,C6,C17,?,Network,LogOn,Success,Normal
302.9038739821758,U4,U8,C17,C13,Kerberos,Network,LogOn,Success,Normal
305.4157707066909,U1,U11,C2,C19,Kerberos,Interactive,LogOn,Success,Normal
307.25087397756477,U17,U4,C3,C5,Kerberos,Unlock,LogOff,Success,Normal
318.5730073869102,U8,U17,C5,C12,NTLM,Unlock,LogOff,Success,Normal
325.0431721958699,U2,U7,C5,C1,Kerberos,Network,LogOn,Success,Normal
328.34197097528534,U8,U8,C1,C5,NTLM,Network,LogOn,Success,Normal
328.6320364300808,U7,U3,C8,C8,Kerberos,Network,LogOff,Success,Normal
335.16996410123716,U2,U2,C12,C13,Kerberos,Interactive,LogOff,Success,Normal
337.2291641811329,U3,U15,C4,C8,Kerberos,Interactive,LogOff,Success,Normal
338.3349834271284,U18,U5,C13,C11,NTLM,Network,LogOff,Success,Normal
339.9946587213422,U12,U1,C15,C1,NTLM,Unlock,LogOff,Success,Normal
349.8353775747667,U1,U4,C11,C13,Kerberos,Unlock,LogOff,Success,Normal
351.6196104229819,U12,U15,C10,C19,Kerberos,Interactive,LogOff,Success,Normal
352.2029783436053,U5,U19,C3,C3,Kerberos,Interactive,LogOff,Success,Normal
362.80080495873597,U17,U3,C14,C17,NTLM,Network,LogOn,Success,Normal
364.0416340420449,U16,U11,C16,C5,Kerberos,Unlock,LogOn,Success,Normal
365.2975543177156,U15,U17,C10,C8,NTLM,Network,LogOn,Success,Normal
371.2459278093574,U15,U13,C10,C14,?,Interactive,LogOn,Success,Normal
388.40913717589603,U5,U11,C12,C4,NTLM,Unlock,LogOn,Success,Normal
396.18692829963635,U14,U2,C9,C11,Kerberos,Unlock,LogOn,Success,Normal
400.31093630214485,U2,U9,C1,C15,NTLM,Interactive,LogOff,Success,Normal
408.50467646612066,U11,U2,C5,C19,?,Network,LogOff,Success,Normal
417.128614290467,U19,U9,C8,C7,Kerberos,Network,LogOn,Success,Normal
417.8615058248985,U7,U9,C11,C19,NTLM,Unlock,LogOn,Success,Normal
421.4412591393811,U6,U8,C12,C19,NTLM,Interactive,LogOff,Success,Normal
423.09448839757755,U2,U17,C1,C11,NTLM,Unlock,LogOff,Success,Normal
425.3933794379625,U6,U1,C11,C5,NTLM,Interactive,LogOff,Success,Normal
427.7444985650589,U18,U11,C5,C5,?,Network,LogOn,Success,Normal
430.53928537788613,U2,U8,C15,C8,Kerberos,Interactive,LogOff,Success,Normal
431.5153224012581,U18,U10,C5,C10,Kerberos,Network,LogOn,Success,Normal
439.3376454412038,U15,U7,C12,C6,Kerberos,Interactive,LogOn,Success,Normal
457.4178455467852,U19,U3,C5,C15,Kerberos,Unlock,LogOff,Success,Normal
495.0753989255757,U2,U3,C17,C16,NTLM,Network,LogOff,Success,Normal
502.1778983473506,U6,U18,C17,C17,NTLM,Unlock,LogOn,Success,Normal
504.3024548514865,U_A,U5,C12,C8,NTLM,Unlock,LogOff,Success,Lateral Movement
507.32720990914555,U15,U12,C15,C8,?,Network,LogOff,Fail,Normal
514.7700553902091,U10,U12,C15,C9,NTLM,Network,LogOn,Success,Normal
521.6215395284031,U19,U19,C6,C2,NTLM,Unlock,LogOff,Success,Normal
561.5802732103296,U17,U6,C12,C15,Kerberos,Unlock,LogOn,Success,Normal
561.6671055927715,U5,U2,C18,C18,?,Unlock,LogOn,Success,Normal
563.1733536159097,U4,U12,C14,C3,NTLM,Unlock,LogOff,Success,Normal
578.9089851029952,U10,U19,C2,C17,Kerberos,Network,LogOn,Success,Normal
580.3966341144159,U17,U5,C9,C4,Kerberos,Network,LogOn,Success,Normal
581.8633707406095,U10,U12,C5,C4,NTLM,Unlock,LogOff,Success,Normal
586.5639374931469,U17,U17,C1,C14,NTLM,Interactive,LogOff,Success,Normal
610.1738880699329,U_A,U17,C3,C9,NTLM,Interactive,LogOff,Success,Lateral Movement
613.8868452742495,U2,U10,C6,C9,?,Network,LogOn,Success,Normal
623.5267316760546,U6,U17,C5,C18,NTLM,Unlock,LogOn,Success,Normal
623.8595522550448,U2,U15,C5,C10,Kerberos,Unlock,LogOff,Success,Normal
627.7191444179692,U13,U12,C1,C4,Kerberos,Network,LogOn,Success,Normal
637.5984458653762,U_A,U16,C17,C12,NTLM,Interactive,LogOff,Success,Lateral Movement
638.7823576070022,U11,U19,C19,C8,Kerberos,Interactive,LogOff,Success,Normal
654.5698819455622,U16,U8,C14,C2,Kerberos,Interactive,LogOn,Fail,Normal
660.2562354723617,U11,U17,C12,C13,Kerberos,Network,LogOff,Success,Normal
665.4760398918974,U19,U5,C10,C16,Kerberos,Interactive,LogOn,Success,Normal
671.4666374394752,U15,U16,C18,C2,Kerberos,Network,LogOn,Success,Normal
671.652211989729,U16,U6,C11,C11,Kerberos,Network,LogOff,Success,Normal
677.2361750055408,U11,U8,C2,C10,Kerberos,Unlock,LogOn,Success,Normal
702.8747560729602,U16,U18,C18,C15,NTLM,Interactive,LogOff,Success,Normal
704.8480852414672,U8,U12,C7,C17,Kerberos,Network,LogOn,Success,Normal
705.5383047089227,U4,U15,C15,C8,Kerberos,Interactive,LogOn,Success,Normal
715.3764535230207,U8,U9,C11,C18,NTLM,Interactive,LogOn,Success,Normal
718.825615770095,U4,U13,C18,C9,Kerberos,Unlock,LogOff,Success,Normal
764.4207984417942,U3,U15,C12,C8,Kerberos,Interactive,LogOn,Success,Normal
776.9556989886354,U3,U10,C6,C14,NTLM,Unlock,LogOff,Success,Normal
799.5881176946289,U_A,U16,C13,C18,NTLM,Network,LogOn,Success,Lateral Movement
804.9450186700295,U19,U7,C16,C12,NTLM,Interactive,LogOn,Success,Normal
807.3695140580152,U19,U17,C18,C19,NTLM,Network,LogOff,Success,Normal
815.3847907125767,U5,U7,C10,C14,Kerberos,Interactive,LogOff,Success,Normal
820.56658515099,U18,U14,C8,C17,NTLM,Network,LogOff,Success,Normal
823.6733957698409,U10,U15,C18,C3,Kerberos,Interactive,LogOff,Success,Normal
854.0967149884802,U6,U7,C1,C7,Kerberos,Interactive,LogOff,Success,Normal
855.4951583726388,U1,U9,C8,C17,Kerberos,Interactive,LogOn,Success,Normal
862.4228064011007,U5,U19,C6,C12,Kerberos,Interactive,LogOn,Success,Normal
870.6682472416261,U9,U16,C5,C9,NTLM,Interactive,LogOff,Success,Normal
871.3989774414015,U12,U8,C15,C15,Kerberos,Interactive,LogOn,Success,Normal
878.3627161647008,U14,U18,C15,C18,NTLM,Interactive,LogOn,Fail,Normal
891.8315622041669,U2,U18,C2,C13,Kerberos,Interactive,LogOn,Success,Normal
897.4520249359498,U17,U7,C1,C8,?,Interactive,LogOff,Success,Normal
900.8744333925432,U14,U3,C11,C14,NTLM,Network,LogOn,Success,Normal
906.416264971311,U13,U18,C10,C8,NTLM,Unlock,LogOn,Success,Normal
928.5898597745602,U9,U10,C18,C14,Kerberos,Interactive,LogOn,Success,Normal
931.6079337600609,U_A,U7,C18,C7,NTLM,Unlock,LogOff,Success,Lateral Movement
954.7285236542116,U15,U17,C17,C12,Kerberos,Interactive,LogOn,Success,Normal
974.9961045434671,U11,U14,C8,C11,NTLM,Interactive,LogOn,Success,Normal
976.8565143860253,U16,U3,C15,C11,Kerberos,Network,LogOff,Success,Normal
998.5722587320777,U17,U12,C8,C13,NTLM,Network,LogOff,Success,Normal
1003.1272712518012,U4,U13,C17,C18,Kerberos,Unlock,LogOn,Fail,Normal
1007.7620290053942,U_A,U2,C12,C2,NTLM,Network,LogOn,Success,Lateral Movement
1010.7805047870809,U8,U3,C8,C15,Kerberos,Network,LogOff,Success,Normal
1011.3642348745708,U17,U5,C14,C18,Kerberos,Unlock,LogOff,Success,Normal
1011.4674825320292,U3,U11,C4,C15,NTLM,Network,LogOff,Success,Normal
1014.6771891842398,U15,U8,C1,C19,Kerberos,Interactive,LogOff,Success,Normal
1015.3244612567033,U15,U12,C1,C12,Kerberos,Unlock,LogOff,Success,Normal
1025.4257797588834,U14,U7,C19,C13,NTLM,Unlock,LogOff,Success,Normal
1028.5635106146985,U14,U15,C16,C11,Kerberos,Interactive,LogOff,Success,Normal
1031.5485076618238,U2,U17,C14,C5,NTLM,Network,LogOn,Success,Normal
1043.105230489565,U13,U4,C16,C1,Kerberos,Unlock,LogOff,Success,Normal
1048.4249047129508,U14,U13,C5,C3,Kerberos,Unlock,LogOff,Success,Normal
1051.7207347267854,U19,U18,C9,C19,Kerberos,Interactive,LogOn,Success,Normal
1055.5587781130323,U7,U1,C2,C7,NTLM,Interactive,LogOff,Success,Normal
1056.930639352176,U3,U16,C18,C12,Kerberos,Network,LogOff,Success,Normal
1060.0160114505086,U_A,U13,C6,C15,NTLM,Unlock,LogOn,Success,Lateral Movement
1083.1619153403708,U14,U10,C9,C5,?,Network,LogOff,Success,Normal
1095.2720746543357,U11,U12,C1,C15,Kerberos,Network,LogOn,Success,Normal
1096.6095690241345,U15,U2,C9,C8,NTLM,Interactive,LogOn,Success,Normal
1119.5363581763838,U13,U3,C16,C10,Kerberos,Unlock,LogOn,Success,Normal
1122.1598739218794,U18,U10,C13,C16,Kerberos,Unlock,LogOn,Success,Normal
1131.681531874776,U6,U2,C9,C8,Kerberos,Unlock,LogOff,Success,Normal
1140.9192185625996,U3,U13,C13,C1,Kerberos,Interactive,LogOn,Success,Normal
1144.81250989871,U19,U13,C9,C12,Kerberos,Interactive,LogOn,Success,Normal
1148.3122690575408,U15,U18,C11,C5,Kerberos,Interactive,LogOff,Success,Normal
1149.5290953254935,U5,U3,C4,C3,Kerberos,Interactive,LogOn,Success,Normal
1152.1785637102023,U10,U7,C2,C1,NTLM,Interactive,LogOn,Success,Normal
1154.808233898249,U7,U14,C6,C4,NTLM,Unlock,LogOn,Success,Normal
1162.6433025884855,U17,U17,C14,C8,NTLM,Network,LogOn,Success,Normal
1163.5305552747188,U_A,U12,C4,C3,NTLM,Unlock,LogOff,Success,Lateral Movement
1170.6599592962893,U12,U16,C6,C10,Kerberos,Network,LogOn,Success,Normal
1171.1891907477516,U17,U12,C19,C2,Kerberos,Interactive,LogOff,Success,Normal
1171.438913373364,U13,U15,C6,C11,Kerberos,Network,LogOff,Success,Normal
1183.1923633316974,U_A,U10,C2,C10,NTLM,Unlock,LogOn,Success,Lateral Movement
1191.232889469537,U10,U7,C18,C14,?,Unlock,LogOn,Success,Normal
1215.4146170530607,U3,U5,C13,C7,Kerberos,Network,LogOn,Success,Normal
1216.782564665529,U9,U1,C9,C2,Kerberos,Interactive,LogOn,Success,Normal
1220.5072477753224,U_A,U17,C19,C9,NTLM,Interactive,LogOff,Success,Lateral Movement
1226.8927449108642,U_A,U3,C13,C16,NTLM,Unlock,LogOff,Success,Lateral Movement
1227.8388637809305,U15,U13,C11,C13,NTLM,Network,LogOff,Success,Normal
1257.1544686055793,U4,U14,C1,C9,NTLM,Interactive,LogOn,Success,Normal
1263.2940451874833,U15,U18,C7,C4,?,Interactive,LogOff,Success,Normal
1272.0680208937902,U2,U4,C15,C10,Kerberos,Unlock,LogOn,Success,Normal
1281.5016431445417,U15,U18,C1,C12,NTLM,Interactive,LogOn,Success,Normal
1284.3119760969214,U8,U5,C12,C17,Kerberos,Network,LogOn,Success,Normal
1290.4766227593814,U8,U16,C7,C14,Kerberos,Unlock,LogOn,Success,Normal
1294.1681443911186,U17,U1,C15,C14,NTLM,Unlock,LogOn,Success,Normal
1296.6863090805464,U12,U14,C19,C2,NTLM,Network,LogOff,Fail,Normal
1309.0665685654583,U19,U15,C1,C11,Kerberos,Unlock,LogOff,Success,Normal
1318.90263585729,U10,U9,C17,C16,Kerberos,Interactive,LogOn,Success,Normal
1323.7768910139607,U9,U15,C17,C19,NTLM,Interactive,LogOff,Success,Normal
1324.0192777893117,U5,U17,C3,C6,Kerberos,Network,LogOn,Success,Normal
1332.5713209195999,U6,U4,C12,C19,Kerberos,Interactive,LogOn,Success,Normal
1334.3117294408073,U2,U12,C6,C5,Kerberos,Network,LogOn,Success,Normal
1339.2651088540194,U13,U5,C11,C4,NTLM,Network,LogOff,Success,Normal
1347.3748647220332,U6,U5,C3,C15,NTLM,Interactive,LogOn,Success,Normal
1348.3444278505049,U5,U11,C8,C4,Kerberos,Network,LogOn,Success,Normal
1348.6054126552963,U1,U6,C14,C10,Kerberos,Interactive,LogOff,Success,Normal
1349.5340862853345,U6,U7,C14,C3,Kerberos,Unlock,LogOff,Success,Normal
1352.0986295037985,U6,U14,C10,C5,NTLM,Unlock,LogOff,Success,Normal
1354.5345079112967,U16,U11,C2,C6,Kerberos,Network,LogOn,Success,Normal
1386.351822966931,U4,U13,C14,C8,NTLM,Interactive,LogOn,Success,Normal
1389.9694960827874,U11,U2,C9,C7,NTLM,Interactive,LogOff,Success,Normal
1392.2472466819347,U9,U7,C3,C10,NTLM,Unlock,LogOn,Success,Normal
1397.4117343434789,U3,U4,C8,C6,NTLM,Unlock,LogOff,Success,Normal
1399.2382428821352,U19,U8,C16,C14,Kerberos,Interactive,LogOff,Success,Normal
1401.126043442987,U8,U19,C2,C4,Kerberos,Network,LogOn,Success,Normal
1415.1518088003374,U5,U13,C6,C13,NTLM,Unlock,LogOn,Fail,Normal
1434.6170438305444,U4,U14,C12,C17,Kerberos,Network,LogOff,Success,Normal
1472.2305998913716,U6,U10,C5,C7,NTLM,Network,LogOff,Success,Normal
1477.378522928267,U2,U11,C2,C4,Kerberos,Unlock,LogOff,Success,Normal
1485.4236368811353,U11,U2,C16,C14,?,Network,LogOff,Success,Normal
1502.6796113356045,U4,U9,C5,C3,NTLM,Network,LogOn,Success,Normal
1510.5602247400436,U15,U17,C15,C5,Kerberos,Interactive,LogOff,Success,Normal
1527.1992332891145,U6,U3,C12,C16,NTLM,Network,LogOff,Success,Normal
1537.5880390545228,U17,U6,C4,C4,NTLM,Interactive,LogOff,Success,Normal
1539.1476660907786,U6,U5,C15,C2,NTLM,Unlock,LogOn,Success,Normal
1541.4629339423316,U19,U5,C11,C18,Kerberos,Unlock,LogOn,Success,Normal
1544.378498550066,U2,U15,C16,C19,Kerberos,Interactive,LogOff,Success,Normal
1555.0020671116167,U15,U17,C6,C19,NTLM,Unlock,LogOn,Success,Normal
1561.8659372567029,U11,U9,C14,C17,Kerberos,Network,LogOn,Success,Normal
1580.29711454029,U8,U3,C18,C14,Kerberos,Network,LogOn,Success,Normal
1584.5489774625646,U19,U17,C12,C19,Kerberos,Network,LogOff,Success,Normal
1589.5098049441572,U13,U10,C11,C13,Kerberos,Unlock,LogOff,Success,Normal
1614.4038791219511,U12,U3,C13,C12,Kerberos,Network,LogOn,Success,Normal
1636.3478331639835,U5,U18,C11,C6,NTLM,Unlock,LogOff,Fail,Normal
1640.3643100285665,U6,U18,C16,C4,NTLM,Network,LogOff,Success,Normal
1641.8519431813293,U4,U17,C15,C19,?,Interactive,LogOn,Success,Normal
1649.7104057694598,U19,U3,C15,C16,NTLM,Unlock,LogOn,Success,Normal
1669.3142577839358,U1,U3,C4,C13,?,Unlock,LogOff,Success,Normal
1676.1528652768566,U17,U6,C11,C4,Kerberos,Network,LogOn,Success,Normal
1687.1783111788545,U12,U13,C19,C17,NTLM,Unlock,LogOff,Success,Normal
1699.9737305830174,U15,U15,C15,C1,NTLM,Unlock,LogOff,Success,Normal
1704.4983748100365,U1,U9,C4,C18,NTLM,Interactive,LogOn,Success,Normal
1707.0257847143707,U14,U4,C13,C17,?,Interactive,LogOff,Success,Normal
1762.029936999227,U_A,U14,C19,C15,NTLM,Network,LogOff,Success,Lateral Movement
1769.8171504205966,U5,U5,C2,C11,NTLM,Interactive,LogOn,Success,Normal
1773.06369774791,U11,U2,C14,C13,NTLM,Network,LogOn,Success,Normal
1773.450375447093,U4,U11,C4,C1,NTLM,Network,LogOn,Success,Normal
1777.6641469118067,U13,U9,C16,C17,Kerberos,Network,LogOff,Success,Normal
1779.9130969292933,U11,U3,C14,C6,NTLM,Unlock,LogOn,Success,Normal
1782.6368764005726,U3,U9,C15,C4,Kerberos,Interactive,LogOn,Success,Normal
1790.0946212125875,U1,U3,C3,C16,NTLM,Network,LogOn,Success,Normal
1805.4586608739187,U6,U2,C8,C15,NTLM,Interactive,LogOn,Success,Normal
1809.4935351786917,U18,U12,C16,C15,Kerberos,Network,LogOff,Success,Normal
1809.6444836239014,U10,U10,C10,C6,Kerberos,Interactive,LogOff,Success,Normal
1811.2905308883157,U5,U9,C4,C15,?,Interactive,LogOn,Success,Normal
1818.9085408122858,U10,U15,C18,C14,Kerberos,Network,LogOff,Success,Normal
1830.85448819293,U12,U8,C2,C11,NTLM,Unlock,LogOn,Success,Normal
1838.6902892792366,U2,U5,C17,C7,Kerberos,Interactive,LogOn,Success,Normal
1840.832635899376,U13,U11,C13,C9,NTLM,Unlock,LogOff,Success,Normal
1843.5350098774115,U8,U2,C4,C16,NTLM,Unlock,LogOff,Success,Normal
1851.2439782890017,U2,U15,C11,C5,?,Network,LogOn,Success,Normal
1858.681253884303,U1,U6,C7,C10,Kerberos,Network,LogOn,Success,Normal
1865.9867485094524,U5,U8,C12,C18,?,Network,LogOff,Success,Normal
1867.6462382761179,U9,U5,C10,C3,Kerberos,Interactive,LogOn,Fail,Normal
1872.2448762401189,U17,U16,C7,C13,Kerberos,Network,LogOff,Success,Normal
1880.0757361972958,U9,U18,C13,C11,NTLM,Network,LogOn,Success,Normal
1881.8381857751785,U11,U6,C7,C17,NTLM,Interactive,LogOn,Success,Normal
1883.1522390125358,U15,U5,C17,C13,Kerberos,Interactive,LogOff,Success,Normal
1889.1231538760562,U6,U16,C10,C6,NTLM,Network,LogOff,Success,Normal
1899.7239927106796,U3,U13,C10,C17,Kerberos,Network,LogOff,Success,Normal
1906.7420820816233,U17,U5,C4,C13,Kerberos,Network,LogOff,Success,Normal
1912.8766736453329,U5,U13,C4,C19,NTLM,Network,LogOff,Success,Normal
1928.7888626691306,U12,U17,C7,C19,Kerberos,Unlock,LogOff,Success,Normal
1941.6320708963426,U18,U18,C1,C10,Kerberos,Unlock,LogOff,Success,Normal
1946.2864377963836,U14,U8,C12,C3,NTLM,Network,LogOn,Success,Normal
1953.5206849472759,U11,U13,C13,C14,Kerberos,Unlock,LogOn,Success,Normal
1953.7058993696944,U9,U19,C10,C19,Kerberos,Interactive,LogOn,Fail,Normal
1964.2204415373658,U2,U3,C15,C5,NTLM,Unlock,LogOff,Success,Normal
1968.1570056358066,U12,U8,C13,C5,Kerberos,Unlock,LogOff,Success,Normal
1975.44164171971,U3,U2,C9,C17,?,Network,LogOff,Success,Normal
1977.2159929420336,U3,U8,C9,C10,NTLM,Unlock,LogOn,Success,Normal
1978.3039763654479,U1,U13,C15,C5,Kerberos,Unlock,LogOff,Fail,Normal
1993.8754238447548,U8,U13,C10,C4,NTLM,Unlock,LogOff,Success,Normal
1995.6745890410425,U8,U1,C10,C6,Kerberos,Unlock,LogOn,Success,Normal
1998.7229217580643,U11,U6,C8,C4,Kerberos,Interactive,LogOff,Success,Normal
2004.4845448500605,U9,U19,C16,C7,NTLM,Network,LogOn,Success,Normal
2010.2552990488982,U5,U16,C17,C7,NTLM,Network,LogOn,Success,Normal
2020.5979112501864,U14,U8,C5,C18,Kerberos,Interactive,LogOff,Success,Normal
2045.9109720076979,U3,U1,C4,C3,Kerberos,Unlock,LogOff,Success,Normal
2052.220212321714,U5,U16,C18,C1,Kerberos,Interactive,LogOff,Success,Normal
2064.37639724383,U5,U9,C19,C4,NTLM,Unlock,LogOn,Success,Normal
2071.7070403531643,U19,U13,C4,C6,Kerberos,Interactive,LogOn,Success,Normal
2076.853984654893,U14,U11,C7,C9,Kerberos,Network,LogOn,Success,Normal
2081.8085075862264,U4,U13,C10,C14,?,Network,LogOff,Success,Normal
2100.1275543497745,U13,U10,C18,C12,NTLM,Network,LogOff,Success,Normal
2101.1620026631394,U10,U4,C19,C4,Kerberos,Unlock,LogOff,Success,Normal
2103.531522923161,U18,U6,C4,C12,Kerberos,Unlock,LogOff,Fail,Normal
2108.792092584468,U8,U7,C10,C10,NTLM,Interactive,LogOn,Success,Normal
2126.9997380484388,U_A,U5,C1,C7,NTLM,Interactive,LogOn,Success,Lateral Movement
2127.2145954776706,U7,U11,C18,C3,NTLM,Network,LogOn,Success,Normal
2132.692447903353,U8,U13,C5,C14,Kerberos,Unlock,LogOn,Success,Normal
2152.4399237199063,U14,U19,C15,C10,Kerberos,Interactive,LogOff,Success,Normal
2155.170543109332,U19,U10,C17,C16,NTLM,Unlock,LogOff,Success,Normal
2164.0140422755517,U6,U10,C3,C16,Kerberos,Unlock,LogOff,Success,Normal
2183.1446147745237,U1,U11,C12,C10,Kerberos,Network,LogOn,Fail,Normal
2187.161466845178,U15,U7,C2,C13,NTLM,Network,LogOn,Success,Normal
2194.4316023276288,U1,U18,C1,C6,?,Unlock,LogOff,Success,Normal
2202.194686443668,U17,U4,C17,C12,?,Unlock,LogOff,Success,Normal
2202.670421000566,U1,U2,C16,C9,Kerberos,Unlock,LogOn,Success,Normal
2214.026016117011,U15,U14,C5,C13,NTLM,Unlock,LogOff,Success,Normal
2217.060352987979,U2,U13,C15,C4,Kerberos,Network,LogOn,Success,Normal
2225.58502793854,U14,U12,C3,C11,Kerberos,Interactive,LogOn,Success,Normal
2232.4773520855324,U8,U7,C7,C18,NTLM,Network,LogOn,Success,Normal
2242.405712948401,U8,U2,C11,C11,Kerberos,Interactive,LogOff,Success,Normal
2243.8732565792084,U19,U13,C10,C4,Kerberos,Unlock,LogOff,Success,Normal
2253.0956965712508,U7,U14,C9,C18,Kerberos,Interactive,LogOn,Success,Normal
2259.2090883026285,U19,U17,C14,C1,Kerberos,Network,LogOff,Success,Normal
2264.1942484075826,U6,U9,C13,C7,Kerberos,Network,LogOn,Success,Normal
2265.8350972869453,U6,U17,C2,C6,?,Unlock,LogOn,Success,Normal
2272.0990535901465,U3,U8,C3,C15,NTLM,Network,LogOn,Success,Normal
2274.6139638112772,U7,U2,C7,C18,Kerberos,Unlock,LogOn,Success,Normal
2276.300990136886,U19,U13,C18,C11,Kerberos,Network,LogOff,Success,Normal
2279.165246183765,U8,U3,C3,C15,Kerberos,Network,LogOn,Success,Normal
2280.2535234375246,U10,U16,C10,C16,Kerberos,Unlock,LogOn,Success,Normal
2280.706958739221,U15,U6,C7,C7,Kerberos,Interactive,LogOff,Success,Normal
2286.3371431235178,U15,U19,C9,C10,Kerberos,Network,LogOn,Success,Normal
2291.0774805496094,U1,U7,C17,C12,Kerberos,Interactive,LogOn,Success,Normal
2294.7476453935437,U7,U10,C11,C14,Kerberos,Network,LogOff,Success,Normal
2295.206896878767,U4,U9,C7,C5,?,Network,LogOff,Success,Normal
2311.313926155436,U6,U2,C14,C18,NTLM,Network,LogOff,Success,Normal
2312.709401542736,U1,U15,C19,C5,NTLM,Network,LogOn,Success,Normal
2315.8375863924716,U5,U5,C4,C3,Kerberos,Interactive,LogOff,Success,Normal
2322.6220454740196,U1,U4,C6,C5,NTLM,Interactive,LogOff,Success,Normal
2323.7002652658043,U4,U4,C10,C17,NTLM,Network,LogOn,Fail,Normal
2337.157087617829,U2,U18,C7,C19,NTLM,Network,LogOn,Success,Normal
2338.6784365699727,U10,U4,C13,C19,NTLM,Interactive,LogOn,Success,Normal
2339.8701507999544,U5,U17,C14,C12,NTLM,Unlock,LogOn,Success,Normal
2347.060534209362,U10,U12,C4,C9,?,Unlock,LogOn,Success,Normal
2367.406412281236,U1,U17,C8,C1,NTLM,Interactive,LogOff,Success,Normal
